Name,City,State,Manager,"Vintage Year","Fund Size","Average Investment","Investment Strategy","Fund Style","Making New Investments?","Investor Relations Name","Investor Relations Email","Investor Relations Phone"
"FCP Fund II, L.P.",Omaha,NE,"First Capital Partners",2011,84200000,522844,"Hybrid Debt/Equity",Hybrid,No,"Andrew Kemp",akemp@firstcapitalpartners.com,"(402) 718-8868"
"FCP Fund III, L.P.",Omaha,NE,"First Capital Partners",2018,149435315,2522448,"Hybrid Debt/Equity",Hybrid,No,"David McLeese",dmcleese@fcpcapital.com,"(402) 718-8868"
"Fidus Mezzanine Capital III, L.P.",Evanston,IL,"Fidus Investment Advisors, LLC",2019,262500000,5933767,Mezzanine,"Private Credit",No,"Shelby Sherard",ssherard@fidusinv.com,"(847) 859-3938"
"Fidus Mezzanine Capital IV, L.P.",Evanston,IL,"Fidus Investment Advisors, LLC",2024,87500000,5933767,Mezzanine,"Private Credit",Yes,"Edward Ross",eross@fidusinv.com,"(847) 859-3938"
"Fin Capital Flagship III - SBIC, LP","San Francisco",CA,"Fin Venture Capital Management LLC",2026,2500000,,Venture,Venture,Yes,"Logan Allin",logan@fin.capital,415-300-0702
"Firmament Capital Partners SBIC III, L.P.","New York",NY,Firmament,2020,329661474,5462772,Mezzanine,"Private Credit",Yes,"Christopher Smith",csmith@thefirmamentgroup.com,"(212) 956-1061"
"Firmament Partners SBIC IV, L.P","New York",NY,Firmament,2023,275000000,10752110,"Direct Lending","Private Credit",Yes,"Christopher Smith",csmith@firmament.com,212-314-0172
"Firmament Partners SBIC IV, L.P.","New York",NY,Firmament,2023,175000000,,Mezzanine,Hybrid,Yes,"Christopher Smith",csmith@thefirmamentgroup.com,"(212) 314-0172"
"First In Ventures Fund 3 SBIC Critical Technologies LP","Hobe Sound",FL,"First In Ventures Fund 3 Critical Technologies LP",2026,65883838,,Venture,Venture,Yes,"Arthur Karell",arthur@wearefirstin.com,917-797-3887
"Five Points Capital Partners IV, L.P.",Winston-Salem,NC,"Five Points Capital, Inc.",2019,227635656,8470059,Mezzanine,Hybrid,No,"David G. Townsend",dtownsend@fivepointscapital.com,"(336) 733-0355"
"Five Points Credit SBIC IV, L.P.",Winston-Salem,NC,"Five Points Capital, Inc.",2021,352797529,2505205,Mezzanine,Hybrid,Yes,"Whit Edwards",wedwards@fivepointscapital.com,"(336) 733-2676"
"Five Points Credit SBIC V LP",Winston-Salem,NC,"Five Points Capital, LLC",2025,269039000,,Mezzanine,"Private Credit",Yes,"Whit Edwards",wedwards@fivepointscapital.com,336-733-0350
"Five Points Credit SBIC V, L.P.",Winston-Salem,NC,"Five Points Capital, LLC",2025,94039000,,"Hybrid Debt/Equity","Private Credit",Yes,"Whit Edwards",wedwards@fivepointscapital.com,336-733-0350
"Five Points Mezzanine Fund III, L.P.",Winston-Salem,NC,"Five Points Capital, Inc.",2016,232965811,3365223,Mezzanine,Hybrid,No,"Brad Clark",bclark@fivepointscapital.com,"(336) 733-0355"
"Frontier Fund I Alpha, LP",Arlington,VA,"America's Frontier Management, LLC",2024,144806263,189584,Venture,Venture,Yes,"Brian Wilcove",brian@americasfrontier.org,301-246-2404
"GarMark SBIC Fund II, L.P.",Stamford,CT,"GarMark Partners",2018,273450000,4181726,"Hybrid Debt/Equity","Private Credit",No,"Steven Pickhardt",spickhardt@garmark.com,"(203) 325-8500"
"GarMark SBIC Fund, L.P.",Stamford,CT,"GarMark Partners",2014,71989342,3424199,"Hybrid Debt/Equity","Private Credit",No,"Steven Pickhardt",spickhardt@garmark.com,"(203) 325-8500"
"Gemini Investors VII, L.P.",Wellesley,MA,"Gemini Managers, Inc.",2021,185744100,2771186,Venture,Venture,Yes,"Matthew Keis",mkeis@gemini-investors.com,"(781) 237-7001"
"Gemini Investors VIII, L.P.",Wellesley,MA,"Gemini Managers, Inc.",2025,72938736,,"Hybrid Debt/Equity","Private Equity",Yes,"Matthew Keis",mkeis@gemini-investors.com,781-237-7001
"GMB Mezzanine Capital II, L.P.",Minneapolis,MN,"Lakeside Capital Management, Inc.",2011,90000000,1062902,Mezzanine,Hybrid,No,"Tom Kreimer",tkreimer@gmbmezz.com,"(612) 243-4415"
"GMB Mezzanine Capital III, L.P.",Minneapolis,MN,"Lakeside Capital Management, Inc.",2015,171831865,3423544,Mezzanine,"Private Credit",No,"Carleton Olmanson",colmanson@gmbcapitalpartners.com,"(612) 243-4415"
"GMB Mezzanine Capital IV, L.P.",Minneapolis,MN,"Lakeside Capital Management, Inc.",2019,344600272,3680289,Mezzanine,"Private Credit",No,"Tom Kreimer",tkreimer@gmbmezz.com,"(612) 243-4415"
"GMB Mezzanine Capital V, L.P.",Minneapolis,MN,"GMB Capital Partners",2023,333661375,5943143,Mezzanine,"Private Credit",Yes,"Tom Kreimer",tkreimer@gmbmezz.com,"(612) 243-4405"
"GP Capital Partners II, LP",Houston,TX,"Genesis Park",2025,125000000,,"Hybrid Debt/Equity",Hybrid,Yes,"Curtis Hartman",curtis.hartman@genesis-park.com,832-699-5237
"GP Capital Partners, LP",Houston,TX,"GPCP MGMT, LLC",2021,240642780,6864080,Mezzanine,Hybrid,Yes,"Curtis Hartman",curtis.hartman@genesis-park.com,"(713) 489-4650"
"Granite Creek FlexCap II, L.P.",Chicago,IL,"Granite Creek Capital Partners, LLC",2018,198014167,4106440,Multiple,Hybrid,No,"Mark Radzik",mark@granitecreek.com,"(312) 895-4503"
"Granite Creek FlexCap III, L.P.",Chicago,IL,"Granite Creek Capital Partners, LLC",2023,214550000,9427861,Multiple,Hybrid,Yes,"Mark Radzik",mark@granitecreek.com,"(312) 895-4503"
"Graycliff Mezzanine II LP","New York",NY,"Graycliff Partners",2012,38908334,2836622,Mezzanine,Hybrid,No,"Andrew P. Trigg",atrigg@graycliffpartners.com,212-300-2903
"Graycliff Mezzanine III (SBIC) LP","New York",NY,"Graycliff Partners",2018,285690011,4994406,Mezzanine,"Private Credit",No,"Andrew Trigg",atrigg@graycliffpartners.com,"(212) 300-2903"
"Graycliff Mezzanine IV (SBIC) LP","New York",NY,"Graycliff Partners",2022,155500000,5804960,Mezzanine,"Private Credit",Yes,"Andrew Trigg",atrigg@graycliffpartners.com,"(212) 300-2903"
"Grayhawk Ventures Fund III, L.P.",Scottsdale,AZ,"Grayhawk Capital, LLC",2021,54787470,2253334,Venture,"Growth Equity",Yes,"Sherman I. Chu",schu@grayhawkcapital.us,602-615-2489
"Grayhawk Ventures Fund III, LP",Scottsdale,AZ,"Grayhawk Capital, LLC",2021,31645470,,"Early Venture",Venture,Yes,"Sherman Chu",schu@grayhawkcapital.us,"(602) 615-2489"
"Hamilton Lane National Small Business Credit Fund, L.P.",Conshohocken,PA,"Hamilton Lane Advisors, LLC",2022,64132010,2797812,Mezzanine,"Private Credit",Yes,"Trevor Messerly",tmesserly@hamiltonlane.com,"(610) 617-5338"
"Harbert Mezzanine Partners II SBIC, L.P.",Birmingham,AL,"Harbert Credit Solutions Funds",2006,59471219,759147,Mezzanine,Hybrid,No,"Amanda Brown",abrown@harbert.net,"(205) 987-5535"
"Haven Capital Partners I, L.P.","New York",NY,"Haven Capital Partners, LLC",2024,252693052,,"Growth Equity",Hybrid,Yes,"David Bainbridge",dbainbridge@havencapitalpartners.com,917-575-2643
"HCAP Partners IV, L.P.","San Diego",CA,"HCAP Partners, LLC",2018,126944957,2641850,Mezzanine,Hybrid,No,"Frank N. Mork Crespo",frank@hcapllc.com,858-259-7654
"HCAP Partners V, L.P.","San Diego",CA,"HCAP Partners, LLC",2021,257821993,7127929,Mezzanine,Hybrid,Yes,"Frank N. Mork Crespo",frank@hcapllc.com,"(858) 529-7654"
"HCAP Partners VI, L.P.","La Jolla",CA,"HCAP Partners, LLC",2025,34387760,,Mezzanine,Hybrid,Yes,"Frank Mora",frank@hcap.com,858-864-9205
"HCAP Partners VI, LP","La Jolla",CA,"HCAP Partners, LLC",2025,34387760,,Mezzanine,"Private Credit",Yes,"Frank Mora",frank@hcap.com,858-864-9205
"Hercules Capital IV, L.P.","San Mateo",CA,"Hercules Capital, Inc.",2020,262500000,10798246,"Direct Lending","Private Credit",Yes,"Seth Meyer",smeyer@htgc.com,"(857) 206-8966"
"Hercules SBIC V, L.P.","San Mateo",CA,"Hercules Capital, Inc.",2024,262500000,11250000,"Direct Lending","Private Credit",Yes,"Seth Meyer",smeyer@htgc.com,650-289-3060
"Hidden River Strategic Capital I, LP",Radnor,PA,"Hidden River Strategic Capital",2023,248000000,14000000,"Hybrid Debt/Equity",Hybrid,Yes,"Steven Gord",sgord@hiddenrivercap.com,"(267) 303-2964"
"High Street Capital V SBIC, L.P.",Chicago,IL,"High Peaks Management Company, LLC",2018,147836472,6489005,Buyout,"Private Equity",No,"Joseph Katcha",joe@highstreetcapital.com,"(312) 267-2861"
"High Street Capital VI SBIC, L.P.",Chicago,IL,"High Street Capital",2024,160540200,6489005,Buyout,"Private Equity",Yes,"Timothy Kurth",tim@highstreetcapital.com,312-423-2650
"Hoist Capital Partners SBIC I, L.P.",Birmingham,AL,"Hoist Capital Partners, LLC",2025,127238750,,Multiple,"Private Credit",Yes,"Brian Heslop",brian@hoistpartners.com,205-335-0154
"Holleway IPA Fund II, LP","St Louis",MO,"Holleway Capital Partners, LLC",2025,154325691,,Buyout,"Private Equity",Yes,"Holly Huels",hhuels@holleway.com,314-249-0496
"Holleway IPA Fund, L.P.","St Louis",MO,"Holleway Capital Partners, LLC",2018,58379445,1716735,Buyout,"Private Equity",No,"Holly Huels",hhuels@holleway.com,"(314) 764-4876"
"Hudson Ferry Capital III, L.P.",Stamford,CT,"Hudson Ferry Capital Management, LLC",2024,82500000,,Buyout,"Private Equity",Yes,"Timothy Ross",tross@hudsonferry.com,212-308-3079
"IMB Partners SBIC I, L.P.",Bethesda,MD,"IMB Partners",2024,95002050,3090000,"Hybrid Debt/Equity",Hybrid,Yes,"Tarrus Richardson",trichardson@imbpartners.com,240-507-1660
"Independent Bankers Capital Fund III, L.P.",Dallas,TX,"IBC Funds",2015,52123180,1238138,Mezzanine,"Private Equity",No,"Barry Conrad",bconrad@ibcfund.com,"(214) 722-6200"
"Independent Bankers Capital Fund IV, L.P.",Dallas,TX,"IBC Funds",2021,109079153,3973712,Mezzanine,"Private Equity",Yes,"Barry Conrad",bconrad@ibcfund.com,214-722-6203
"Innovate Capital Growth Fund, L.P.",Philadelphia,PA,"Innovate Capital Partners LLC",2022,23270330,2000000,Expansion,"Private Equity",Yes,"Della Clark",dclark@theenterprisecenter.com,"(215) 895-4005"
"Invision Capital II, L.P.",Chicago,IL,"Invision Management, Inc.",2016,240536619,4663562,Buyout,Hybrid,No,"Robert Castillo",rcastillo@invcg.com,"(312) 543-3363"
"Invision Capital III-A, L.P.",Chicago,IL,"Invision Management, Inc.",2022,242225000,4878500,Buyout,Hybrid,Yes,"Robert Castillo",rcastillo@invcg.com,"(312) 543-2430"
"Ironwood Capital Partners V SBIC, L.P.",Avon,CT,"Ironwood Capital",2022,133955551,2231884,Mezzanine,Hybrid,Yes,"Carolyn Galiette",galiette@ironwoodcap.com,"(860) 409-2105"
"Ironwood Mezzanine Fund III-A LP",Avon,CT,"Ironwood Capital",2012,49138000,982688,Mezzanine,"Private Credit",No,"Carolyn Galiette",galiette@ironwoodcap.com,"(860) 409-2101"
"Ironwood Mezzanine Fund IV-A, L.P.",Avon,CT,"Ironwood Capital",2017,78845075,1596735,Mezzanine,Hybrid,No,"Carolyn Galiette",galiette@ironwoodcap.com,"(860) 409-2105"
"Kansas Venture Capital, Inc.","Overland Park",KS,,1977,23733221,357551,Mezzanine,Hybrid,No,"Marshall D. Parker",mparker@kvci.com,913-262-7117
"Kansas Venture Capital, Inc. d/b/a Konza Valley Capital, Inc.","Overland Park",KS,"Kansas Venture Capital, Inc.",1977,17490032,,Buyout,"Growth Equity",Yes,"Marshall Parker",mparker@kvci.com,"(913) 262-7117"
"Keswick Partners Fund I, LP",Tampa,FL,"Keswick Partners",2023,34990000,3157565,Buyout,"Private Equity",Yes,"Chris Hart",chris@keswickpartners.com,"(614) 378-2451"
"Kian Growth Partners III, L.P.",Charlotte,NC,"Kian Capital",2023,388454636,4826742,Buyout,Hybrid,Yes,"Kevin McCarthy",kmccarthy@kiancapital.com,"(704) 943-2501"
"Kian Mezzanine Partners I, L.P.",Charlotte,NC,"Kian Capital",2014,40025891,2872087,Mezzanine,Hybrid,No,"Charlie Edmondson",cedmondson@kiancapital.com,"(704) 943-2501"
"Kian Mezzanine Partners II, L.P.",Charlotte,NC,"Kian Capital",2018,248235987,3681373,Mezzanine,Hybrid,No,"Charlie Edmondson",cedmondson@kiancapital.com,"(704) 943-2503"
"Lafayette Square SBIC, LP",Miami,FL,"Lafayette Square",2023,73922500,4919731,Mezzanine,Hybrid,Yes,"Seren Tahiroglu",tahiroglu@lafayettesquare.com,860.869.2778
"Lafayette Square SSBIC, LP",Miami,FL,"Lafayette Square",2024,87500000,4919731,"Balanced Venture","Private Credit",Yes,"Seren Tahiroglu",tahiroglu@lafayettesquare.com,860.869.2778
"Lake Country Capital SBIC LP",Edina,MN,"LC2 Partners, LLC",2018,182550000,2039045,Mezzanine,"Private Equity",No,"Andrew Leonard",andrew@lakecountrycapital.com,"(612) 800-9947"
"LBC Small Cap SBIC, L.P.",Philadelphia,PA,"LBC Small Cap",2018,131988621,1875973,"Direct Lending","Private Credit",No,"Rocco Christino",rchristino@lbccredit.com,"(215) 883-7143"
"LCM Healthcare Fund I, L.P.",Dallas,TX,"Latticework Capital Management, LLC",2018,110737954,3714616,"Growth Equity","Growth Equity",No,"Kyle Bradford",kyle.bradford@latticeworkcapital.com,"(917) 676-6742"
"LFE Growth Fund IV, L.P.",Naples,FL,"LFE Capital, LLC",2022,30909091,2841250,"Growth Equity","Private Equity",Yes,"Laurent Frecon",laurent@lfecapital.com,"(612) 752-1806"
"Lightspring Capital I, LP","St. Louis Park",MN,"Lightspring Capital Partners, LLC",2020,130404113,4843365,"Hybrid Debt/Equity",Hybrid,Yes,"Susan Gohman",sgohman@lightspringcapitalpartners.com,"(612) 289-6614"
"Lightspring Capital II, LP",Minneapolis,MN,"Lightspring Capital Partners, LLC",2025,219700000,,"Hybrid Debt/Equity",Hybrid,Yes,"Meghan Otis",motis@lightspringcapitalpartners.com,312-560-8178
"Lineage Capital II, L.P.",Boston,MA,"Lineage Capital, LLC",2015,154686605,6860237,Buyout,"Private Equity",No,"T. Brook Parker",brook@lineagecap.com,"(617) 778-0672"
"Lineage Capital III, L.P.",Boston,MA,"Lineage Capital, LLC",2022,180238000,9234084,Buyout,"Private Equity",Yes,"T. Brook Parker",brook@lineagecap.com,"(617) 778-0672"
"LNC Partners II - SBIC, L.P.",Reston,VA,"LNC Management, LLC",2020,298192752,6069430,"Hybrid Debt/Equity",Hybrid,No,"Mark Raterman",raterman@lnc-partners.com,"(703) 651-2149"
"LNC Partners III-SBIC, L.P.",Reston,VA,"LNC Management, L.P.",2025,94592308,,"Hybrid Debt/Equity",Hybrid,Yes,"Mark Raterman",raterman@lnc-partners.com,703-651-2149
"LO3 SBIC, LP",Nashville,TN,"LO3 Capital",2022,146900000,5785358,Mezzanine,"Private Credit",Yes,"Wesley Roberts",wesley@lo3capital.com,"(732) 735-5581"
"LongueVue Capital Partners III, L.P",Metairie,LA,"LongueVue Management Company, LLC",2017,221119200,4199151,Buyout,"Growth Equity",No,"Max Vorhoff",mvorhoff@lvcpartners.com,"(504) 293-3610"
"LongueVue Capital Partners IV, L.P.",Metairie,LA,"LongueVue Management Company, LLC",2022,272500000,6188664,Buyout,"Growth Equity",Yes,"Raymond J. Jeandron III",rjeandron@lvcpartners.com,"(504) 293-3607"
"LongWater SBIC Fund I LP",Fargo,ND,"LWO LLC",2025,262500000,,"Hybrid Debt/Equity",Hybrid,Yes,"Benjamin Dinehart",ben@lwopps.com,469-351-3471
"Main Street Capital III, L.P.",Houston,TX,"Main Street Capital Corporation",2016,262500000,3704596,Multiple,Hybrid,No,"Kate Silva",ksilva@mainstcapital.com,"(713) 350-6039"
"Main Street Mezzanine Fund, L.P.",Houston,TX,"Main Street Capital Corporation",2002,233333334,1910338,Mezzanine,Hybrid,No,"Kate Silva",ksilva@mainstcapital.com,"(713) 350-6039"
"Maranon Mezzanine Fund III-B, L.P.",Chicago,IL,"Maranon Capital",2018,168810583,3608018,Mezzanine,"Private Credit",No,"Michael Parilla",maranonoperations@maranoncapital.com,"(312) 646-1205"
"Marquette Capital Fund II, LP","Golden Valley",MN,"Marquette Capital, LLC",2010,35630788,1593526,"Hybrid Debt/Equity",Hybrid,No,"Thomas Jenkins",tom.jenkins@marquettecapital.com,"(612) 661-3990"
"McLarty Capital Partners SBIC II, L.P.","New York",NY,"McLarty Capital Advisors SBIC, LLC",2018,151133298,3122659,Mezzanine,Hybrid,No,"Christopher Smith",csmith@thefirmamentgroup.com,"(212) 314-0172"
"Mclarty Capital Partners SBIC, L.P.",Washington,NY,"McLarty Capital Advisors SBIC, LLC",2014,46400000,4163404,Mezzanine,"Private Credit",No,"Christopher Smith",csmith@thefirmamentgroup.com,"(202) 956-1061"
"MCM Capital Partners III Parallel Fund, L.P.",Beachwood,OH,"MCM Capital Partners",2015,17849844,775008,Buyout,"Private Equity",No,"Kevin Hayes",kevin@mcmcapital.com,"(216) 514-1846"
"MCM Capital Partners IV, LP",Beachwood,OH,"MCM Capital Partners",2023,105360870,775008,Buyout,"Private Equity",Yes,"Kevin Hayes",kevin@mcmcapital.com,216-514-1846
"Medallion Capital, Inc.",Excelsior,MN,"Medallion Capital Inc.",1979,135008986,4000000,Mezzanine,"Private Credit",Yes,"Steve Lewis",slewis@medallioncapital.com,"(612) 804-9886"
"MEDALLION FUNDING LLC","New York",NY,"Medallion Capital Inc.",1980,72093895,565641,"Direct Lending","Private Credit",No,"Thomas Munson",tmunson@medallion.com,"(212) 328-2122"
"Merion Investment Partners III, LP",Berwyn,PA,"Phineas Management, LLC",2016,137669893,2681891,Mezzanine,"Private Credit",No,"Gayle Hughes",ghughes@merionpartners.com,"(610) 230-0880"
"Merion Investment Partners IV, LP",Berwyn,PA,"Merion Investment Partners",2023,82512000,2807259,Mezzanine,"Private Credit",Yes,"Gayle Hughes",ghughes@merionpartners.com,"(610) 230-0880"
"MICHIGAN CAPITAL NETWORK VENTURE FUND V, LP","Grand Rapids",MI,"Michigan Capital Network Ventures, LLC",2025,75000000,,Venture,Venture,Yes,"Paul D'Amato",paul@michigancapitalnetwork.com,616-566-1770
"Midwest Growth Partners IV, LP","West Des Moines",IA,"Midwest Growth Advisors IV, LLC",2024,250000000,,Multiple,"Private Equity",Yes,"Benjamin Fogle",ben.fogle@mgpfund.com,515-421-4800
"Midwest Mezzanine Fund V SBIC, L.P.",Chicago,IL,"Midwest Mezzanine Funds",2014,40641330,2872168,Mezzanine,"Private Credit",No,"Paul Kreie",pkreie@mmfcapital.com,"(312) 291-7303"
"Midwest Mezzanine Fund VI SBIC, L.P.",Chicago,IL,"Midwest Mezzanine Funds",2018,249204493,2886421,Mezzanine,"Private Credit",No,"Paul Kreie",pkreie@mmfcapital.com,"(312) 291-7303"
"Midwest Mezzanine Fund VII SBIC, L.P.",Chicago,IL,"Midwest Mezzanine Funds",2024,89628108,5636334,Mezzanine,"Private Credit",Yes,"Paul Kreie",pkreie@mmfcapital.com,"(312) 291-7303"
"Milton Street Capital Fund III, LP",Houston,TX,"Milton Street Capital LLC",2026,50001000,,Buyout,"Private Equity",Yes,"Kevin Crook",kcrook@miltonstreetcap.com,713-568-1285
"Mizzen Capital III, LP",Stamford,CT,"Mizzen Management, LLC",2025,26760000,2833333,"Direct Lending","Private Credit",Yes,"Marilyn Adler",madler@mizzencapital.com,917-763-9423
"Mizzen Capital, L.P.",Stamford,CT,"Mizzen Management, LLC",2021,267235252,4643097,"Direct Lending",Hybrid,Yes,"Kevin Wolpert",kwolpert@mizzencapital.com,"(717) 201-1172"
"Mosaic Capital Investors I, LP",Charlotte,NC,"Mosaic Capital Partners, LLC",2014,90127249,2581704,Mezzanine,Hybrid,No,"Bill Hayes",whayes@mosaic-cp.com,704.626.6433
"Mosaic Capital Investors II SBIC, L.P.",Charlotte,NC,"Mosaic Capital Partners, LLC",2024,138767539,5000000,Buyout,"Private Equity",Yes,"William A Hayes",whayes@mosaic-cp.com,704-626-6433
"Mountain State Capital SBIC, L.P.",Morgantown,WV,"Mountain State Capital Management LLC",2019,19072500,191636,Venture,Venture,No,"Matt Harbaugh",matt@mountainstatecapital.com,"(412) 401-2909"
"Mountain Ventures, Inc.",London,KY,na,1978,2081675,238571,"Direct Lending","Private Credit",No,"Brenda McDaniels",BMcDaniel@khic.org,606-864-5175
"Multiplier Capital II, L.P",Washington,DC,"Multiplier Capital, LLC",2017,190450448,5082710,Mezzanine,"Private Credit",No,"Kevin Sheehan",sheehan@multipliercapital.com,(917)783-3223
"Multiplier Capital III, L.P.",Washington,DC,"Multiplier Capital, LLC",2022,131613500,9450000,"Balanced Venture","Private Credit",Yes,"Kevin Sheehan",sheehan@multipliercapital.com,(917)783-3223
"MV Fund II SBIC, L.P.",Folsom,CA,"Moneta Venture LLC",2018,10560916,289125,"Early Venture",Venture,No,"Denise Ferre",dferre@monetaventures.com,"(916) 270-2704"
"MV FUND III SBIC, L.P.",Folsom,CA,"Moneta Venture LLC",2023,75481061,843000,"Early Venture",Venture,Yes,"Denise Ferre",dferre@monetaventures.com,"(916) 529-9210"
"New Canaan Funding Mezzanine VI SBIC, L.P.","New Canaan",CT,"New Canaan Funding Leverage Mezzanine Advisors, LLC",2015,81809571,3274563,Mezzanine,"Private Equity",No,"Mark Thies",mthies@newcanaanfunding.com,"(203) 966-1071"
"New Canaan Funding Mezzanine VII SBIC, L.P.",Naples,FL,"New Canaan Funding Leverage Mezzanine Advisors, LLC",2020,241300000,4808889,Mezzanine,"Private Equity",Yes,"Mark Thies",mthies@newcanaanfunding.com,"(203) 966-1071"
"New Mountain Finance SBIC II, L.P.","New York",NY,"New Mountain Finance Advisors BDC, L.L.C.",2017,225000000,6167556,"Direct Lending","Private Credit",No,"John Kline",jkline@newmountaincapital.com,"(212) 720-0309"
"New Mountain Finance SBIC III, L.P.","New York",NY,"New Mountain Capital, L.L.C.",2025,175000000,,"Direct Lending","Private Credit",Yes,"John Kline",jkline@newmountaincapital.com,212-720-0309
"New Mountain Finance SBIC, L.P.","New York",NY,"New Mountain Finance Advisors BDC, L.L.C.",2014,225000000,3599598,"Direct Lending","Private Credit",No,"John Kline",jkline@newmountaincapital.com,"(212) 720-0309"
"New North Ventures Fund II SBIC, LP",Portsmouth,NH,"New North Ventures",2025,17399821,,Venture,,Yes,"Jeremy Hitchcock",jeremy@newnorthventures.com,603-391-4494
"New York Credit SBIC Fund II L.P.",Conshohocken,PA,"Hamilton Lane Advisors, LLC",2022,96284330,8542569,Mezzanine,"Private Equity",Yes,"Trevor Messerly",tmesserly@hamiltonlane.com,"(610) 617-5338"
"NewSpring Mezzanine Capital III, L.P.",Radnor,PA,NewSpring,2016,124353742,3337489,Mezzanine,Hybrid,No,"Jonathan Schwartz",jschwartz@newspringcapital.com,"(610) 567-2387"
"NewSpring Mezzanine Capital IV, L.P.",Radnor,PA,NewSpring,2019,344542157,4998079,Mezzanine,"Private Credit",No,"Jonathan Schwartz",jschwartz@newspringcapital.com,"(610) 567-2387"
"NewSpring Mezzanine Capital V, L.P.",Radnor,PA,NewSpring,2023,285842100,5390643,Mezzanine,Hybrid,Yes,"Anne Vazquez",avazquez@newspringcapital.com,"(610) 567-2397"
"North Atlantic Venture Fund V, L.P.",Portland,ME,"North Atlantic Capital Corporation",2015,76390000,1290816,Mezzanine,Hybrid,No,"David M Coit",dcoit@northatlanticcapital.com,"(207) 653-1040"
"NorthCoast Mezzanine SBIC III LP",Minneapolis,MN,"NorthCoast Mezzanine",2022,110800000,,Mezzanine,"Private Credit",Yes,"Stacy Harmsen",stacy@northcoastmezz.com,"(612) 843-1554"
"NorthCoast Mezzanine SBIC III, L.P.",Minneapolis,MN,"NorthCoast Mezzanine, LP",2022,198300000,3125035,Mezzanine,Hybrid,Yes,"Stacy Harmsen",stacy@NorthCoastMezz.com,612-843-1554
"NorthCoast Mezzanine SBIC IV, LP",Minneapolis,MN,"NorthCoast Mezzanine",2026,109985000,,Mezzanine,"Private Credit",Yes,"Stacy Harmsen",stacy@northcoastmezz.com,612-843-1542
"Northcreek Mezzanine Fund II, L.P.",Cincinnati,OH,"Northcreek Management, Inc.",2014,86077691,1216048,Mezzanine,Hybrid,No,"Rodger Davis",rdavis@northcreekmezzanine.com,"(513) 985-6600"
"Northcreek Mezzanine Fund III, L.P.",Cincinnati,OH,"Northcreek Management, Inc.",2019,184879314,2411240,Mezzanine,Hybrid,No,"Rodger Davis",rdavis@northcreekmezzanine.com,"(513) 985-6600"
"Northcreek Mezzanine Fund IV, L.P.",Cincinnati,OH,"Northcreek Management, Inc.",2024,144404672,2411240,Mezzanine,Hybrid,Yes,"Rodger Davis",rdavis@northcreekmezzanine.com,"(513) 985-6600"
"Northstar Mezzanine Partners SBIC II, LP",Minneapolis,MN,"Northstar Company LLC",2024,230407892,2411240,Mezzanine,"Private Equity",Yes,"Christopher Kocourek",ckocourek@northstarcapital.com,312-371-5718
"Northstar Mezzanine Partners SBIC, LP",Minneapolis,MN,"Northstar Capital",2020,134601941,1659797,Mezzanine,"Private Equity",Yes,"Christopher Kocourek",ckocourek@northstarcapital.com,"(612) 371-5718"
"Norwest Strategic Capital, L.P.","Palo Alto",CA,"NVP Associates, LLC",2016,1257468746,4644401,Venture,Venture,No,"Ben Hui",bhui@nvp.com,650-289-2229
"o15 Emerging America Credit Opportunities Fund LP",Atlanta,GA,"o15 Capital Partners",2023,196514221,13333333,"Hybrid Debt/Equity","Private Credit",Yes,"Kenneth Saffold",kenneth@o15.com,404-422-1500
"Oaktree SBIC Fund, L.P.","New York",NY,"Oaktree Capital",2021,265239238,3299424,Mezzanine,Hybrid,Yes,"Michael Deng",mdeng@oaktreecapital.com,212-284-7848
"ONE Bow River National Defense Fund, LP","Colorado Springs",CO,"ONE SBIC Fund, LLC",2024,502640000,4537062,"Growth Equity","Growth Equity",Yes,"Kevin O'Neil",kevin.oneil@onebowriver.com,720-682-2038
"Oxer BCP Mezzanine Fund, L.P.",Columbus,OH,"Oxer Capital, Inc.",2016,55202300,1959130,Mezzanine,Hybrid,No,"Daniel Phlegar",dan.phlegar@oxercapital.com,"(614) 917-7659"
"Oxer Mezzanine Fund II, L.P.",Columbus,OH,"Oxer Capital, Inc.",2019,206000000,2334917,"Hybrid Debt/Equity","Private Credit",No,"Daniel Phlegar",dan.phlegar@oxercapital.com,"(614) 907-7373"
"Oxer Mezzanine Fund III, L.P.",Columbus,OH,"Oxer Capital, Inc.",2023,146720000,4178313,Mezzanine,Hybrid,Yes,"Daniel Phlegar",dan.phlegar@oxercapital.com,"(614) 907-7373"
"Parliament SBIC Growth Fund, LP","San Juan",PR,"Parliament Capital Management",2023,68463000,1223687,"Hybrid Debt/Equity","Private Credit",Yes,"Rodolfo Sanchez-Colberg",rs@parliamentcapital.com,"(787) 200-9004"
"Patriot Capital III SBIC, L.P.",Baltimore,MD,"Patriot Capital",2013,105526801,2509818,Mezzanine,Hybrid,No,"Charles McCusker",cmccusker@patriot-capital.com,"(443) 573-3015"
"Patriot Capital IV (A), L.P.",Baltimore,MD,"Patriot Capital",2018,302972498,3107558,Mezzanine,Hybrid,No,"Charles McCusker",cmccusker@patriot-capital.com,"(443) 573-3015"
"Patriot Capital V, L.P.",Balitmore,MD,"Patriot Capital",2023,180306419,4204102,Mezzanine,Hybrid,Yes,"Charles McCusker",cmccusker@patriot-capital.com,"(443) 573-3015"
